INFO 2021-08-10 09:17:11,229 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/decimal.py first seen with mtime 1627394833.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1628446504.855657
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/simplejson/__init__.py first seen with mtime 1628446331.011391
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/migrations/exceptions.py first seen with mtime 1628446504.856818
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/templatetags/i18n.py first seen with mtime 1628446504.8871977
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/lib-dynload/_multibytecodec.cpython-37m-darwin.so first seen with mtime 1628156263.6389596
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/logging/config.py first seen with mtime 1627394840.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/settings.py first seen with mtime 1628391678.8527932
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/serializers/python.py first seen with mtime 1628446504.845682
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/statistics.py first seen with mtime 1627394833.0
